City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,67.1,51,75,9.22,CA,1691697438
1,atafu village,-8.5421,-172.5159,82.96,70,23,12.44,TK,1691697727
2,aasiaat,68.7098,-52.8699,37.71,89,100,11.23,GL,1691697727
3,uacu cungo,-11.3634,15.1208,67.55,57,1,3.18,AO,1691697728
4,ust-nera,64.5667,143.2,63.1,59,9,1.34,RU,1691697728
5,broome,42.2506,-75.833,71.19,90,100,10.36,US,1691697728
6,kingscliff,-28.2667,153.5667,55.2,82,0,4.61,AU,1691697729
7,morehead city,34.7229,-76.726,82.45,86,0,25.32,US,1691697512
8,longyearbyen,78.2186,15.6401,49.84,81,100,3.44,SJ,1691697729
9,hermosillo,29.0667,-110.9667,101.28,51,100,3.0,MX,1691697730
10,hawaiian paradise park,19.5933,-154.9731,77.04,93,100,1.99,US,1691697523
11,qaqortoq,60.7167,-46.0333,47.07,72,79,4.61,GL,1691697730
12,noshiro,40.2039,140.0242,74.16,80,0,6.87,JP,1691697731
13,west fargo,46.875,-96.9004,69.98,69,40,9.22,US,1691697609
14,kabalo,-6.05,26.9167,82.08,33,16,4.85,CD,1691697731
15,yangjiang,21.85,111.9667,79.03,90,100,1.43,CN,1691697632
16,xining,36.6167,101.7667,63.14,92,95,2.62,CN,1691697732
17,sao felix do xingu,-6.6447,-51.995,92.23,35,39,8.37,BR,1691697732
18,ceerigaabo,10.6162,47.368,69.64,53,66,17.29,SO,1691697733
19,kadnikov,59.5022,40.338,66.9,88,100,3.8,RU,1691697733
20,grytviken,-54.2811,-36.5092,28.36,97,94,7.83,GS,1691697733
21,port alfred,-33.5906,26.891,68.04,62,0,10.96,ZA,1691697734
22,bridgewater,44.3835,-64.5155,78.42,59,77,19.57,CA,1691697686
23,kruisfontein,-34.0033,24.7314,66.99,27,3,10.47,ZA,1691697734
24,waitangi,-43.9535,-176.5597,51.82,84,66,12.75,NZ,1691697734
25,ilulissat,69.2167,-51.1,46.42,76,75,4.61,GL,1691697735
26,tezu,27.9167,96.1667,76.8,97,100,2.82,IN,1691697735
27,ushuaia,-54.8,-68.3,37.06,87,100,10.36,AR,1691697735
28,rongelap,11.1635,166.8941,82.63,75,38,10.6,MH,1691697735
29,nar'yan-mar,67.6713,53.087,51.91,79,6,6.44,RU,1691697736
30,stettler,52.3168,-112.7186,68.76,64,85,16.11,CA,1691697736
31,port-aux-francais,-49.35,70.2167,38.97,93,100,35.01,TF,1691697736
32,adamstown,-25.066,-130.1015,64.62,63,23,25.17,PN,1691697736
33,albany,42.6001,-73.9662,77.41,95,100,0.38,US,1691697145
34,edinburgh of the seven seas,-37.0676,-12.3116,53.76,65,24,25.41,SH,1691697737
35,akureyri,65.6835,-18.0878,48.13,76,40,11.5,IS,1691697737
36,arraial do cabo,-22.9661,-42.0278,76.96,78,0,19.57,BR,1691697737
37,west island,-12.1568,96.8225,76.98,88,75,13.8,CC,1691697738
38,gadzhiyevo,69.2551,33.3362,64.44,68,0,11.05,RU,1691697738
39,talnakh,69.4865,88.3972,54.21,66,86,16.62,RU,1691697739
40,fort st. john,56.2499,-120.8529,58.89,88,75,9.22,CA,1691697670
41,pergamino,-33.89,-60.5736,63.82,80,100,5.86,AR,1691697744
42,ayr,55.4627,-4.6339,71.31,78,75,8.05,GB,1691697745
43,anadyr,64.75,177.4833,48.7,81,75,6.71,RU,1691697679
44,lethem,3.3803,-59.7968,86.11,63,79,6.06,GY,1691697745
45,thunder bay,48.4001,-89.3168,67.98,52,75,10.36,CA,1691697583
